Task,Time_ms,Time_s
BasicStatistics,319.154,0.319154
Histogram,7.443,0.007443
Sort,1279.220,1.279220
PearsonCorrelation,19.781,0.019781
MovingAverage,1010.443,1.010443
OutlierDetection,12.552,0.012552
Computation_Total,2648.592,2.648592
Communication_Overhead,261051.962,261.051962
Execution_Total,263700.554,263.700554
Overhead_Percent,99.00,-
