Task,Time_ms,Time_s
BasicStatistics,130.870,0.130870
Histogram,104.849,0.104849
Sort,4014.084,4.014085
PearsonCorrelation,157.549,0.157549
MovingAverage,121.793,0.121793
OutlierDetection,72.278,0.072278
TOTAL,4601.424,4.601424
