Task,Time_ms,Time_s
BasicStatistics,263.711,0.263711
Histogram,122.517,0.122517
Sort,10772.007,10.772007
PearsonCorrelation,47.880,0.047880
MovingAverage,8560.498,8.560498
OutlierDetection,26.747,0.026747
Computation_Total,19793.360,19.793360
Communication_Overhead,272707.756,272.707756
Execution_Total,292501.115,292.501115
Overhead_Percent,93.23,-
