Task,Time_ms,Time_s
BasicStatistics,69.137,0.069137
Histogram,107.146,0.107146
Sort,10113.655,10.113655
PearsonCorrelation,0.000,0.000000
MovingAverage,371.669,0.371669
OutlierDetection,0.000,0.000000
TOTAL,10661.607,10.661607
