Task,Time_ms
BasicStatistics,87.464
Histogram,52.562
Sort,87893.895
PearsonCorrelation,57.849
MovingAverage,78078.782
OutlierDetection,89.306
CommOverhead,312924.877
TOTAL,221943.275
